level,group,model,n,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
era,Analog (1960-89),LogReg,23315,0.7129747309318009,0.0041779077260403,0.734414990375905,0.0042435880002491,0.7863143671336058,0.0015658097053257
era,Analog (1960-89),RandomForest,23315,0.7687754048769372,0.0012232495724691,0.7823071256762799,0.0027821501590423,0.8481356993162175,0.0022083099683885
era,Analog (1960-89),KNN,23315,0.722925343949275,0.0031075965764724,0.764255093782909,0.0021411374998356,0.8100243732943855,0.002355018249704
era,CD/Digital (1990-2009),LogReg,11391,0.7999297691159688,0.0059372621960884,0.8101217431296085,0.0047171063430269,0.8739483169464343,0.0071947084223239
era,CD/Digital (1990-2009),RandomForest,11391,0.8462821525765957,0.0051891903102911,0.8510990545289365,0.0048325833122887,0.917129169531299,0.0052428318588444
era,CD/Digital (1990-2009),KNN,11391,0.7972961109647967,0.005596480537445,0.8226711250014255,0.0034982272925544,0.8886353955171717,0.0055426740983062
era,Streaming (2010s),LogReg,6397,0.803501705091702,0.0055605656591828,0.8191945153939172,0.0057112297994704,0.8637003453721629,0.0043592896738058
era,Streaming (2010s),RandomForest,6397,0.8425826238680001,0.0012093649951066,0.8497993565129992,0.0021501792973928,0.9120784843564184,0.0021355091865891
era,Streaming (2010s),KNN,6397,0.7686419547847972,0.0051241885724573,0.8074956361731928,0.0041157458294189,0.8626001840271885,0.0039431357810692
decade,60s,RandomForest,,,,,,0.8516215401938704,0.0064444332564407
decade,70s,RandomForest,,,,,,0.8502904063191229,0.0007407520619309
decade,80s,RandomForest,,,,,,0.8782610524260219,0.0044627421657637
decade,90s,RandomForest,,,,,,0.9201805686830498,0.0048188292261737
decade,00s,RandomForest,,,,,,0.921463723886692,0.0022189167376728
decade,10s,RandomForest,,,,,,0.9120784843564184,0.0021355091865891
